"ciudad","actividad_industrial","usa_agua_proceso","tratamiento_aguas","costo_mantenimiento_tratamiento","fuente_agua","volumen_consumido_m3","costo_consumo_mensual","numero_empleados"
"Quito","química","no","sí",1583.53,"río",890.5,829.74,78
"Ambato","metalmecánica","sí","sí",1251.76,"red municipal",1017.6,990.53,105
"Loja","plásticos","sí","sí",1465.6,"río",887.7,851.36,85
"Manta","plásticos","sí","sí",1865.33,"red municipal",1043.2,822.29,90
"Guayaquil","química","sí","sí",1814.8,"pozo y río",816.3,558.91,84
"Manta","farmacéutica","no","no",NA,"red municipal",718.9,489.93,86
"Ambato","plásticos","sí","sí",916.36,"pozo y río",1006.3,888.46,83
"Loja","plásticos","sí","sí",1266.68,"red municipal y río",880.1,879.33,84
"Quito","química","sí","sí",2243.57,"red municipal y pozo y río",761.9,796.65,78
"Quito","metalmecánica","sí","sí",1322.23,"pozo y río",946.6,1059.81,83
"Loja","procesamiento de alimentos","sí","sí",598.65,"red municipal",731.5,722.26,82
"Guayaquil","textil","sí","no",NA,"red municipal y río",756.9,694.62,78
"Cuenca","plásticos","sí","sí",950.17,"red municipal y pozo",835.4,867.8,87
"Cuenca","plásticos","sí","sí",1242.09,"pozo y río",1080,1206.69,72
"Loja","metalmecánica","sí","sí",2337.06,"red municipal y río",967.2,934.09,87
"Manta","metalmecánica","sí","sí",2166.5,"pozo",939.6,763.15,92
"Manta","metalmecánica","sí","sí",1347.9,"red municipal y pozo",897,733.11,102
"Guayaquil","química","sí","sí",2022.14,"red municipal",835.5,566.51,92
"Quito","química","no","sí",1113.17,"pozo y río",729,650.65,91
"Manta","farmacéutica","sí","sí",1451.56,"red municipal",767.7,676.82,91
"Loja","textil","no","sí",1827.06,"red municipal",675.8,770.77,88
"Manta","metalmecánica","sí","no",NA,"red municipal",917.1,637.35,78
"Manta","plásticos","sí","sí",1153.95,"red municipal",987.1,710.22,79
"Loja","metalmecánica","sí","sí",1850.72,"red municipal y pozo",718.7,767.69,93
"Guayaquil","plásticos","sí","sí",1215.17,"red municipal y pozo",675.7,553.55,92
"Cuenca","plásticos","no","sí",821.02,"red municipal",551.8,597.33,88
"Ambato","metalmecánica","sí","sí",1224.84,"río",992.9,921.03,90
"Quito","metalmecánica","sí","no",NA,"pozo y río",884.7,985.41,82
"Quito","plásticos","sí","sí",2335.7,"pozo y río",1015.4,1023.3,98
"Quito","farmacéutica","sí","sí",1253,"red municipal y pozo",683,670.08,78
"Ambato","procesamiento de alimentos","no","sí",799.01,"red municipal",739.8,687.74,94
"Ambato","farmacéutica","sí","sí",1322.83,"río",870.6,992.88,97
"Manta","procesamiento de alimentos","sí","sí",1033.74,"pozo y río",772.8,693.51,97
"Ambato","procesamiento de alimentos","sí","sí",1550,"pozo",835,792.49,94
"Guayaquil","metalmecánica","sí","sí",1451.95,"red municipal y pozo",831.8,709.47,78
"Cuenca","procesamiento de alimentos","no","no",NA,"pozo y río",679.2,672.93,81
"Ambato","metalmecánica","sí","no",NA,"río",883.6,903.36,91
"Loja","procesamiento de alimentos","sí","sí",1060.96,"pozo",937.2,887.38,105
"Guayaquil","procesamiento de alimentos","sí","no",NA,"red municipal",1035.8,729.23,84
"Cuenca","textil","sí","sí",2756.56,"pozo",948.7,969.7,79
"Ambato","farmacéutica","sí","sí",2493.36,"red municipal",989,945.16,87
"Ambato","procesamiento de alimentos","no","sí",1454.95,"red municipal y pozo",884.2,803.69,67
"Ambato","procesamiento de alimentos","no","sí",549.2,"red municipal",668.7,682.91,88
"Guayaquil","química","sí","no",NA,"red municipal",685,523.39,77
"Cuenca","química","no","sí",2084.07,"red municipal",535.2,552,94
"Ambato","farmacéutica","sí","no",NA,"red municipal y río",788.1,796.66,83
"Cuenca","metalmecánica","sí","sí",1436.94,"río",1069.1,1100.18,85
"Manta","textil","sí","sí",723.03,"pozo y río",797.6,622.5,95
"Quito","procesamiento de alimentos","sí","sí",2146.52,"red municipal y pozo y río",787.5,777.4,87
"Ambato","metalmecánica","sí","no",NA,"red municipal y pozo",776.4,830.26,69
"Loja","química","sí","sí",1921.27,"red municipal y pozo",934.6,949.7,92
"Loja","plásticos","sí","sí",1230.28,"río",751.6,740.8,97
"Quito","farmacéutica","sí","no",NA,"red municipal",751.6,792.12,77
"Quito","farmacéutica","sí","no",NA,"red municipal y pozo",843.3,866.54,87
"Manta","química","sí","no",NA,"río",904.7,644.44,104
"Guayaquil","química","sí","sí",1707.75,"red municipal",824,735.77,84
"Loja","metalmecánica","sí","sí",1674.87,"pozo",932.7,1014.9,92
"Guayaquil","química","sí","sí",1261.96,"pozo",978.4,758.01,113
"Loja","plásticos","sí","no",NA,"red municipal",855.2,798.03,85
"Ambato","química","no","sí",2515.84,"río",619,663.76,97
"Cuenca","farmacéutica","no","sí",1204.91,"río",463.3,456.12,83
"Quito","química","sí","no",NA,"red municipal y pozo",629.4,707.25,80
"Quito","plásticos","no","no",NA,"pozo",587,501.85,85
"Manta","farmacéutica","sí","no",NA,"red municipal y pozo",638.1,530.2,92
"Loja","química","sí","no",NA,"red municipal y río",912.1,978.54,84
"Quito","plásticos","no","sí",527.07,"red municipal y pozo y río",490.2,435.24,90
"Manta","química","sí","no",NA,"red municipal y pozo",785.9,706.79,96
"Loja","textil","no","no",NA,"red municipal y río",576.2,534.83,87
"Manta","plásticos","no","sí",1904.12,"red municipal",653.4,521.85,92
"Manta","farmacéutica","sí","sí",1376.96,"red municipal y río",1119.5,976.2,88
"Manta","plásticos","sí","no",NA,"pozo",1122.7,936.93,88
"Loja","farmacéutica","sí","sí",861.91,"red municipal",975.6,877.61,93
"Ambato","química","no","no",NA,"río",643.7,608.26,89
"Cuenca","metalmecánica","no","sí",1465.81,"red municipal y pozo y río",650.2,741.67,86
"Ambato","procesamiento de alimentos","sí","no",NA,"pozo",2234.33353298712,1836.54663163749,360
"Guayaquil","metalmecánica","sí","sí",-52.24,"pozo",736.2,671.2,88
"Quito","textil","sí","sí",2173.49,"red municipal",1012.1,861.38,93
"Loja","plásticos","sí","sí",1346.69,"red municipal y pozo y río",732.8,826.6,80
"Quito","procesamiento de alimentos","sí","sí",1303.04,"red municipal",737.1,755.5,77
"Ambato","procesamiento de alimentos","sí","sí",1505.15,"red municipal",778.9,780.91,83
"Ambato","metalmecánica","sí","sí",1267.71,"pozo",1002,885.93,82
"Guayaquil","textil","sí","no",NA,"red municipal",834.7,643.3,77
"Loja","plásticos","sí","no",NA,"red municipal y pozo",621.6,611.75,72
"Quito","farmacéutica","sí","no",NA,"red municipal",900.8,982.26,77
"Guayaquil","procesamiento de alimentos","sí","sí",2278.35,"red municipal y pozo",825.4,663.39,89
"Loja","química","sí","no",NA,"río",861.9,948.06,92
"Loja","plásticos","sí","sí",1981.57,"red municipal y pozo",814.3,756.82,88
"Cuenca","procesamiento de alimentos","no","no",NA,"pozo",681.7,638.78,84
"Guayaquil","metalmecánica","sí","no",NA,"pozo",817.5,666.13,91
"Ambato","metalmecánica","no","sí",1608.17,"red municipal y pozo",572.4,651.26,91
"Manta","farmacéutica","sí","sí",1335.98,"red municipal",730.8,525.77,70
"Cuenca","metalmecánica","no","no",NA,"pozo",741.9,800.54,68
"Ambato","metalmecánica","sí","no",NA,"red municipal",888.6,872.05,101
"Loja","metalmecánica","sí","no",NA,"red municipal",767.4,769.74,97
"Quito","textil","sí","sí",1889.33,"red municipal y río",870.3,838.17,83
"Ambato","textil","sí","no",NA,"red municipal y pozo",854.9,979.45,75
"Manta","plásticos","sí","sí",736.16,"red municipal y pozo",825.7,645.27,86
"Guayaquil","química","no","sí",2207.14,"pozo",589.8,528.4,82
"Ambato","plásticos","no","sí",1181.31,"red municipal",744.3,726.53,90
"Ambato","plásticos","sí","sí",828.92,"red municipal y pozo",920.2,1007.84,84
"Manta","procesamiento de alimentos","no","sí",2133.36,"red municipal",753.6,649.07,91
"Cuenca","metalmecánica","no","sí",2361.59,"pozo y río",434.4,398.83,70
"Guayaquil","procesamiento de alimentos","sí","sí",1658,"pozo",1039.5,759.78,80
"Quito","farmacéutica","sí","no",NA,"pozo y río",891.9,883.07,87
"Cuenca","procesamiento de alimentos","sí","sí",1111.62,"red municipal y pozo",685.8,671.5,86
"Cuenca","farmacéutica","sí","sí",1401.04,"red municipal y pozo",873.6,796.77,82
"Cuenca","química","sí","sí",1509.31,"red municipal y río",750.8,759.1,81
"Guayaquil","procesamiento de alimentos","sí","sí",1279.76,"pozo",987.5,658.53,82
"Cuenca","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",716.2,651.9,84
"Guayaquil","metalmecánica","sí","sí",1604.87,"red municipal",933.2,729.78,82
"Ambato","farmacéutica","sí","no",NA,"red municipal y pozo",868,908.84,82
"Loja","farmacéutica","no","no",NA,"red municipal y río",529.9,481.37,62
"Ambato","metalmecánica","sí","no",NA,"red municipal y pozo",767.6,725.17,93
"Quito","química","sí","sí",1096.03,"red municipal y río",797.9,894.79,74
"Ambato","textil","no","sí",1390.29,"pozo",806,925.5,85
"Cuenca","procesamiento de alimentos","sí","sí",1983.69,"red municipal",913.2,850.2,91
"Quito","farmacéutica","sí","sí",1364.05,"pozo y río",914.8,968.88,78
"Cuenca","procesamiento de alimentos","no","no",NA,"red municipal",630.6,697.65,76
"Quito","metalmecánica","sí","no",NA,"red municipal",868.1,743.47,88
"Ambato","plásticos","no","sí",1366.96,"río",717.3,667.87,76
"Ambato","metalmecánica","no","sí",1539.33,"pozo y río",636.4,705.25,91
"Quito","química","sí","sí",1664.16,"río",744.4,718.04,91
"Quito","plásticos","no","sí",1908.44,"pozo y río",383.7,373.2,91
"Ambato","metalmecánica","sí","sí",1467.32,"pozo y río",1030.2,1073.88,92
"Quito","química","sí","sí",1324.82,"red municipal y río",862.6,853.47,73
"Guayaquil","química","sí","sí",1305.6113562216,"red municipal y pozo",1609.94937026391,1397.34395425355,203
"Guayaquil","química","sí","no",NA,"red municipal",811.4,703.61,93
"Manta","procesamiento de alimentos","sí","sí",1091.86,"red municipal",912,828.24,87
"Cuenca","química","sí","no",NA,"red municipal",831.2,903.76,78
"Cuenca","química","sí","no",NA,"red municipal y pozo",734.6,821.57,85
"Manta","textil","sí","no",NA,"red municipal",870.2,582.96,93
"Manta","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",914.9,721.34,71
"Cuenca","textil","no","no",NA,"pozo",828.5,872.14,88
"Cuenca","textil","sí","sí",1389.21,"pozo y río",848.6,755.69,107
"Loja","metalmecánica","sí","sí",1739.67,"red municipal",933.4,894.48,81
"Ambato","química","sí","sí",1300.09,"red municipal y río",903.5,987.84,90
"Cuenca","procesamiento de alimentos","sí","sí",1746.51,"río",800.5,744.72,79
"Ambato","textil","sí","sí",1405.97,"red municipal y pozo y río",836.1,754.18,97
"Quito","textil","sí","no",NA,"río",756.1,834.43,78
"Ambato","plásticos","sí","sí",1378.11,"red municipal y pozo",930.7,903.69,73
"Ambato","procesamiento de alimentos","sí","sí",1663.18,"pozo",1053.3,1106.95,91
"Loja","farmacéutica","sí","sí",1508.92,"pozo",1053.6,1066.88,82
"Loja","textil","sí","sí",1624.98,"río",620.8,617.77,85
"Guayaquil","metalmecánica","no","no",NA,"red municipal y pozo y río",838.4,572.12,87
"Manta","plásticos","sí","sí",915.83,"pozo",818.9,545.08,84
"Quito","química","sí","no",NA,"pozo",915.2,1031.36,86
"Cuenca","metalmecánica","sí","sí",2154.51,"red municipal y pozo",1017.2,1126.1,85
"Loja","farmacéutica","no","no",NA,"red municipal",634,727.69,73
